@relation indri-question-results

@attribute indrirank numeric
@attribute indriscore numeric
@attribute correct {yes,no}

@data
4,-8.0698034132,no
5,-8.1517785053,yes
6,-8.184597189,no
7,-8.2214454506,no
8,-8.2429583647,no
9,-8.3038325885,no
10,-8.3797246336,no
11,-8.4050115332,no
12,-8.4403278161,no
13,-8.469845327,no
14,-8.5037111597,no
15,-8.5142344308,no
16,-8.5325629694,no
17,-8.5379394381,no
18,-8.5998565586,no
19,-8.6003944754,no
20,-8.6238461061,no
1,-7.9347665743,no
2,-7.95434148,yes
3,-7.970244238,no
4,-8.0088234476,no
5,-8.0250185528,no
6,-8.0291500101,no
7,-8.0494693765,no
8,-8.0591693461,no
9,-8.1137149522,no
10,-8.1155756365,no
11,-8.1307882428,no
12,-8.1486687542,no
13,-8.1753744429,no
14,-8.1989853925,no
15,-8.2616815515,no
16,-8.2649845432,no
17,-8.2700727117,no
18,-8.3079793855,no
19,-8.3150737147,no
20,-8.3179390376,no
1,-7.3125627127,no
2,-7.326977643,no
3,-7.3786802461,yes
4,-7.8686355346,no
5,-7.8811961307,no
6,-7.9203826064,no
7,-7.9408285034,no
8,-8.0605609402,no
9,-8.0698972367,no
10,-8.0710118045,no
11,-8.0750440846,no
12,-8.1110671612,no
13,-8.1442583743,no
14,-8.158188993,no
15,-8.1968352704,no
16,-8.2095883561,yes
17,-8.2288979463,no
18,-8.234673909,no
19,-8.2438551218,no
20,-8.2558244763,no
1,-7.8521845899,no
2,-8.2065135494,no
3,-8.2989335126,no
4,-8.3787341527,no
5,-8.5237089688,no
6,-8.5677001679,no
7,-8.6190148573,no
8,-8.7086927579,no
9,-8.8093847436,yes
10,-8.8319045586,yes
11,-8.87437906,no
12,-8.9184256316,no
13,-8.925996745,no
14,-9.0122973302,no
15,-9.0580671679,no
16,-9.0890590806,no
17,-9.1325566829,no
18,-9.1353230283,no
19,-9.1376002852,no
20,-9.1431255088,no
1,-8.3765693029,no
2,-8.4079843202,no
3,-8.4439905295,no
4,-8.4559555293,no
5,-8.4781737877,no
6,-8.5119523245,no
7,-8.5314592716,no
8,-8.5348779152,yes
9,-8.5467325734,no
10,-8.5653956345,no
11,-8.5709213287,no
12,-8.5911062825,no
13,-8.6072451882,no
14,-8.6282763643,no
15,-8.6361727758,no
16,-8.653056246,no
17,-8.6552330573,no
18,-8.6698085274,no
19,-8.6730197266,no
20,-8.6755205167,no
1,-8.6045232947,no
2,-8.9743839186,no
3,-9.1585311565,no
4,-9.169820532,no
5,-9.1776629066,no
6,-9.2092010114,no
7,-9.212216922,no
8,-9.2125145986,no
9,-9.2467761806,no
10,-9.2538696059,yes
11,-9.2697288223,no
12,-9.2962433312,no
13,-9.2974825702,no
14,-9.3027113024,no
15,-9.3099697444,no
16,-9.3265189044,no
17,-9.3335063859,yes
18,-9.3412825424,no
19,-9.3518939382,no
20,-9.3598519951,no
1,-6.7720304563,yes
2,-6.8063858469,no
3,-6.9286101487,no
4,-6.9428255843,no
5,-6.9717107873,no
6,-7.0094942667,no
7,-7.0103440481,no
8,-7.0481332028,no
9,-7.0969350096,no
10,-7.0994719645,no
11,-7.1185854454,no
12,-7.1416397533,yes
13,-7.1738722028,no
14,-7.1891184742,no
15,-7.2245363159,no
16,-7.2342531628,no
17,-7.2452246906,no
18,-7.2456126124,no
19,-7.248527579,no
20,-7.2639378105,no
1,-6.7731257831,no
2,-7.0594034782,no
3,-7.31389295,no
4,-7.496884254,no
5,-7.4973516673,no
6,-7.5933573965,no
7,-7.6613888668,no
8,-7.7118307241,yes
9,-7.7170902505,no
10,-7.7488636739,no
11,-7.7541152477,no
12,-7.7621871587,no
13,-7.7775995666,no
14,-7.7919801296,no
15,-7.8020915624,no
16,-7.8049104258,yes
17,-7.8157931364,no
18,-7.81823614,no
19,-7.8189928893,no
20,-7.838146711,no
1,-7.0602134635,no
2,-7.1974000349,yes
3,-7.2937610731,no
4,-7.3395920503,no
5,-7.3861134407,yes
6,-7.4169440186,no
7,-7.4245274211,no
8,-7.4507655525,no
9,-7.4764350071,no
10,-7.4871228348,yes
11,-7.5587301303,no
12,-7.5810399598,no
13,-7.5959800163,no
14,-7.6009734497,no
15,-7.6072689293,no
16,-7.6432547161,no
17,-7.6887644853,no
18,-7.6936798151,no
19,-7.7108102447,no
20,-7.7118962673,no
1,-7.1205040388,yes
2,-7.2155943306,no
3,-7.2642754996,no
4,-7.4616896384,no
